INFO 2026-06-21 22:10:48,792 autoreload Watching for file changes with StatReloader
INFO 2026-06-21 23:51:10,847 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:51:10,880 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:51:11,058 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 304 0
INFO 2026-06-21 23:51:11,061 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 304 0
INFO 2026-06-21 23:51:11,061 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 304 0
INFO 2026-06-21 23:51:11,061 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 304 0
INFO 2026-06-21 23:51:11,063 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 304 0
INFO 2026-06-21 23:51:11,065 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,666 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:20:25,667 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:20:25,677 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:20:25,678 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:20:25,710 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:20:25,755 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:20:25,994 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,994 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,994 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,996 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,996 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:20:25,996 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 304 0
INFO 2026-06-22 00:24:49,649 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:24:49,651 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:24:49,654 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:24:49,654 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:24:49,709 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:24:49,734 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-22 00:24:50,650 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-22 00:24:50,678 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-22 00:24:50,684 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-22 00:24:50,689 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-22 00:24:50,693 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-22 00:24:50,698 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-22 00:25:52,345 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:25:52,345 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:25:52,361 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-22 00:25:52,363 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-22 00:25:52,422 basehttp "GET /api/home/ HTTP/1.1" 200 17517
